(-1.0000001192092896, -1.0000001192092896, 0.0)
(1.0000001192092896, -1.0000001192092896, 0.0)
(-1.0000001192092896, 1.0000001192092896, 0.0)
(1.0000001192092896, 1.0000001192092896, 0.0)
(-1.0, 0.9375000596046448, 0.0)
(-1.0, 0.875, 0.0)
(-1.0000001192092896, 0.8125001192092896, 0.0)
(-1.0, 0.7500000596046448, 0.0)
(-1.0, 0.6875, 0.0)
(-1.0, 0.625, 0.0)
(-1.0000001192092896, 0.5625000596046448, 0.0)
(-1.0, 0.4999999701976776, 0.0)
(-1.0, 0.4374999403953552, 0.0)
(-1.0, 0.3750000596046448, 0.0)
(-1.0000001192092896, 0.3125000298023224, 0.0)
(-1.0, 0.24999994039535522, 0.0)
(-1.0000001192092896, 0.1875, 0.0)
(-1.0000001192092896, 0.1250000298023224, 0.0)
(-1.0, 0.062499940395355225, 0.0)
(-1.0000001192092896, 0.0, 0.0)
(-1.0, -0.062499940395355225, 0.0)
(-1.0000001192092896, -0.1250000298023224, 0.0)
(-1.0000001192092896, -0.1875, 0.0)
(-1.0, -0.24999994039535522, 0.0)
(-1.0000001192092896, -0.3125, 0.0)
(-1.0, -0.3750000596046448, 0.0)
(-1.0, -0.4374999403953552, 0.0)
(-1.0000001192092896, -0.5000001192092896, 0.0)
(-1.0000001192092896, -0.5625000596046448, 0.0)
(-1.0, -0.625, 0.0)
(-1.0000001192092896, -0.6875001192092896, 0.0)
(-1.0, -0.7500000596046448, 0.0)
(-1.0000001192092896, -0.8125001192092896, 0.0)
(-1.0000001192092896, -0.8750001192092896, 0.0)
(-1.0, -0.9375000596046448, 0.0)
(-0.9375001192092896, -1.0000001192092896, 0.0)
(-0.875, -1.0, 0.0)
(-0.8125001192092896, -1.0000001192092896, 0.0)
(-0.7500001192092896, -1.0000001192092896, 0.0)
(-0.6875, -1.0, 0.0)
(-0.6250001192092896, -1.0000001192092896, 0.0)
(-0.5625001192092896, -1.0000001192092896, 0.0)
(-0.4999999701976776, -1.0, 0.0)
(-0.4375000298023224, -1.0000001192092896, 0.0)
(-0.37500011920928955, -1.0000001192092896, 0.0)
(-0.3124999403953552, -1.0, 0.0)
(-0.2500000298023224, -1.0000001192092896, 0.0)
(-0.18750008940696716, -1.0000001192092896, 0.0)
(-0.12499994039535522, -1.0, 0.0)
(-0.06250002980232239, -1.0000001192092896, 0.0)
(0.0, -1.0000001192092896, 0.0)
(0.06250002980232239, -1.0000001192092896, 0.0)
(0.12499994039535522, -1.0, 0.0)
(0.18750008940696716, -1.0000001192092896, 0.0)
(0.2500000298023224, -1.0000001192092896, 0.0)
(0.3124999403953552, -1.0, 0.0)
(0.37500011920928955, -1.0000001192092896, 0.0)
(0.4375000298023224, -1.0000001192092896, 0.0)
(0.4999999701976776, -1.0, 0.0)
(0.5625001192092896, -1.0000001192092896, 0.0)
(0.6250001192092896, -1.0000001192092896, 0.0)
(0.6875, -1.0, 0.0)
(0.7500001192092896, -1.0000001192092896, 0.0)
(0.8125001192092896, -1.0000001192092896, 0.0)
(0.875, -1.0, 0.0)
(0.9375001192092896, -1.0000001192092896, 0.0)
(1.0, -0.9375000596046448, 0.0)
(1.0000001192092896, -0.8750000596046448, 0.0)
